2023-11-20 21:59:11,085 INFO    StreamThr :1952 [internal.py:wandb_internal():86] W&B internal server running at pid: 1952, started at: 2023-11-20 21:59:11.084547
2023-11-20 21:59:11,087 DEBUG   HandlerThread:1952 [handler.py:handle_request():146] handle_request: status
2023-11-20 21:59:11,088 INFO    WriterThread:1952 [datastore.py:open_for_write():85] open: E:\Projects\BrainLM\wandb\run-20231120_215911-4eka3yey\run-4eka3yey.wandb
2023-11-20 21:59:11,091 DEBUG   SenderThread:1952 [sender.py:send():380] send: header
2023-11-20 21:59:11,133 DEBUG   SenderThread:1952 [sender.py:send():380] send: run
2023-11-20 21:59:12,140 INFO    SenderThread:1952 [dir_watcher.py:__init__():211] watching files in: E:\Projects\BrainLM\wandb\run-20231120_215911-4eka3yey\files
2023-11-20 21:59:12,151 INFO    SenderThread:1952 [sender.py:_start_run_threads():1122] run started: 4eka3yey with start time 1700488751.085549
2023-11-20 21:59:12,147 DEBUG   HandlerThread:1952 [handler.py:handle_request():146] handle_request: check_version
2023-11-20 21:59:12,152 DEBUG   SenderThread:1952 [sender.py:send_request():407] send_request: check_version
2023-11-20 21:59:12,916 DEBUG   HandlerThread:1952 [handler.py:handle_request():146] handle_request: run_start
2023-11-20 21:59:12,972 DEBUG   HandlerThread:1952 [system_info.py:__init__():32] System info init
2023-11-20 21:59:12,972 DEBUG   HandlerThread:1952 [system_info.py:__init__():47] System info init done
2023-11-20 21:59:12,972 INFO    HandlerThread:1952 [system_monitor.py:start():194] Starting system monitor
2023-11-20 21:59:12,973 INFO    SystemMonitor:1952 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-20 21:59:12,973 INFO    HandlerThread:1952 [system_monitor.py:probe():214] Collecting system info
2023-11-20 21:59:12,979 INFO    SystemMonitor:1952 [interfaces.py:start():190] Started cpu monitoring
2023-11-20 21:59:12,979 INFO    SystemMonitor:1952 [interfaces.py:start():190] Started disk monitoring
2023-11-20 21:59:12,981 INFO    SystemMonitor:1952 [interfaces.py:start():190] Started gpu monitoring
2023-11-20 21:59:12,981 INFO    SystemMonitor:1952 [interfaces.py:start():190] Started memory monitoring
2023-11-20 21:59:12,990 INFO    SystemMonitor:1952 [interfaces.py:start():190] Started network monitoring
2023-11-20 21:59:12,992 DEBUG   HandlerThread:1952 [system_info.py:probe():196] Probing system
2023-11-20 21:59:12,993 DEBUG   HandlerThread:1952 [system_info.py:_probe_git():181] Probing git
2023-11-20 21:59:13,059 DEBUG   HandlerThread:1952 [system_info.py:_probe_git():189] Probing git done
2023-11-20 21:59:13,061 DEBUG   HandlerThread:1952 [system_info.py:probe():244] Probing system done
