X,Y,Z
96.20916552150331,82.09177734228976,17.214405693709832
82.31387000163498,48.77183466365425,44.10188598562078
4.004367463155257,68.22369534708606,68.46088544253685
26.89988979675453,72.24129440354473,97.74787781823342
24.01649390618167,72.22123494968082,64.62198562049323
25.50956391118181,71.50235571223661,72.8598774576136
24.88367145698206,80.18445700391852,94.24222885868609
35.251879138019795,81.0558611107413,78.51896488862671
38.664246014044465,65.8852477748075,64.65294181964558
83.17878799270876,84.1075667261254,31.81267828618568
21.722894501540836,57.2433114609848,61.025155580841016
60.09909726914854,68.37493380584276,27.40724410840002
28.17868414471364,21.356194853509912,3.3997757810805274
31.60545350394296,88.45411362592006,33.15352112772694
17.723619360125863,13.056550650332877,46.20727611829416
1.416533088605032,37.352857584112606,23.04981135095551
1.572740924622229,54.791273612507126,73.00501897049186
88.79564568497706,28.073943345537778,20.282793631076412
73.07736136874533,74.17835522447623,76.80943074428765
40.002424350767285,42.66859091940219,47.38735098762089
12.68890303363448,3.8080339237741345,90.80195560332616
22.371834371472765,65.01291121865745,33.349746784641276
45.986889447264126,56.62093429007271,56.91414997237829
73.64832536963617,61.360560190904756,81.05001734940625
87.65411991032104,57.604350501134164,82.88962915618578
44.88902531935337,53.91606085402631,2.8040738270549537
93.50306367035101,61.50692385795743,71.63040900522705
4.725699746246692,22.278502013942713,38.35647595345117
39.407028533339414,65.32102910818396,43.75925811008703
27.471288042781094,56.74565533020175,24.986074383946143
18.15551735091916,76.0671792076633,66.27049961839359
85.0313589985204,41.469720631943176,98.45830699976653
71.05626814126319,45.22681603570216,28.023611282337736
62.404225886043676,8.911897367894127,76.10477257995755
42.982848127008864,78.44118933194058,53.477626359763065
16.80002541504916,60.50164895040295,85.70623957571138
55.16136093485011,47.7970122984781,35.79863367770862
43.21146803493334,25.974650774770858,19.053806077062497
79.19457656194845,2.7041270398917017,66.86593168088565
21.02600028605106,38.19755733302627,39.77277006128504
8.888163982149111,66.70232489272738,21.66810391054539
19.510121437239558,61.77384083293526,32.16295731436175
59.1363808709019,57.43918021571209,2.3591595549506628
72.08575313924351,21.82934399824481,2.163813050454644
2.7571259038625895,10.745130781996703,5.2843222542259705
14.168859609073436,17.215655970323272,4.68609893623495
84.20506802791525,94.60009686358393,31.380975503636645
4.30799586678946,72.96021849444276,43.20297152251672
62.55269793771036,13.555644399012746,65.506533752031
13.61776244176005,54.42375824522191,42.6697076161515
